project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
400150,N06000216,2025-04,3,2,2,6000216.0,55.0,0.0,2028-03,2028-03,0.0,2024-03
400151,N06000218,2025-04,3,0,0,6000218.0,6000218.0,0.0,2026-03,2026-03,0.0,2024-03
400152,N06000233,2025-04,3,0,0,4.0,4.0,0.0,2026-03,2026-03,0.0,2024-03
400153,N06000243,2025-04,3,1,0,6000243.0,6000243.0,0.0,2025-03,2028-03,36.0,2024-03
400154,N06000242,2025-04,3,1,2,6000242.0,6000242.0,0.0,2024-03,2027-03,36.0,2024-03
400155,N06000247,2025-04,3,1,0,6000247.0,6000247.0,0.0,2026-03,2028-03,24.0,2024-03
400156,N06000217,2025-04,3,0,0,6000217.0,6000217.0,0.0,2028-03,2028-03,0.0,2024-03
400160,N06000087,2025-04,11,2,0,3.0,3.0,0.0,2016-03,2016-03,108.0,2024-03
400162,N06000184,2025-04,5,0,0,6000184.0,6000184.0,0.0,2023-03,2023-03,0.0,2024-03
400165,N06000249,2025-04,3,0,1,6000249.0,86.0,0.0,2027-03,2027-03,0.0,2024-03
400166,N06000113,2025-04,10,0,1,40.0,3.0,0.0,2026-03,2026-03,0.0,2024-03
400167,N16000279,2025-04,7,2,2,16000279.0,6.0,0.0,2026-03,2017-02,0.0,2024-03
400168,N16000430,2025-04,3,0,2,500.0,500.0,0.0,2025-04,2025-04,0.0,2024-03
400169,N16000428,2025-04,3,0,2,16000428.0,324.0,0.0,2025-03,2025-03,0.0,2024-03
400171,N16000402,2025-04,4,2,2,16000402.0,16000402.0,0.0,2023-02,2023-02,10.0,2024-03
400172,N06000169,2025-04,6,0,2,6000169.0,73.0,0.0,2024-03,2024-03,0.0,2024-03
400173,N06000236,2025-04,3,0,0,6000236.0,6000236.0,0.0,2025-03,2025-03,0.0,2024-03
400174,N12000095,2025-04,9,0,0,12000095.0,12000095.0,0.0,2017-10,2017-10,0.0,2024-03
400177,N06000132,2025-04,9,0,0,6000132.0,6000132.0,0.0,2025-03,2025-03,0.0,2024-03
400178,N06000222,2025-04,3,0,0,8.0,8.0,0.0,2027-03,2027-03,0.0,2024-03
400180,N06000244,2025-04,3,0,2,6000244.0,6000244.0,0.0,2025-03,2025-03,0.0,2024-03
400181,N06000170,2025-04,6,0,1,6000170.0,75.0,0.0,2029-03,2029-03,0.0,2024-03
400182,N06000165,2025-04,6,0,0,6000165.0,6000165.0,0.0,2026-03,2026-03,0.0,2024-03
400183,N06000230,2025-04,3,0,2,6000230.0,80.0,0.0,2029-03,2029-03,0.0,2024-03
400185,N06000229,2025-04,3,1,1,6000229.0,3.0,0.0,2028-03,2020-08,0.0,2024-03
400186,N06000276,2025-04,0,0,0,,,0.0,,,0.0,
400187,N06000167,2025-04,6,0,0,6000167.0,6000167.0,0.0,2027-03,2027-03,0.0,2024-03
400204,N22000569,2025-04,2,0,1,22000569.0,542.0,0.0,2030-10,2030-10,0.0,2024-03
400205,N22000565,2025-04,2,1,1,12.0,22000565.0,183337941.6666667,2027-12,2029-03,15.0,2024-03
400220,N22000489,2025-04,6,0,1,22000489.0,506.0,0.0,2018-09,2018-09,0.0,2024-03
400223,N22000626,2025-04,2,0,0,22000626.0,22000626.0,0.0,2026-03,2026-03,0.0,2024-03
400231,N06000270,2025-04,1,0,0,3.0,3.0,0.0,2029-05,2029-05,0.0,2024-03
400232,N22000521,2025-04,2,0,1,22000521.0,485.0,0.0,2026-12,2026-12,0.0,2024-03
400247,N22000624,2025-04,2,0,1,511.0,501.0,0.0,2025-03,2025-03,0.0,2024-03
400253,N22000409,2025-04,8,1,0,3.0,3.0,0.0,2006-03,2024-12,225.0,2024-03
400259,N06000152,2025-04,8,0,0,1980.0,1980.0,0.0,2021-11,2021-11,0.0,2024-03
400261,N18000275,2025-04,5,0,0,3.0,3.0,0.0,2023-03,2023-03,0.0,2024-03
400271,N22000231,2025-04,11,2,1,22000231.0,450.0,0.0,2012-04,2023-03,131.0,2024-03
400275,N22000085,2025-04,10,5,2,22000085.0,643.0,0.0,2006-09,2026-12,243.0,2024-03
400277,N22000110,2025-04,11,0,0,22000110.0,22000110.0,0.0,2016-03,2016-03,0.0,2024-03
400280,N22000028,2025-04,11,0,0,22000028.0,22000028.0,0.0,2013-06,2013-06,0.0,2024-03
400291,N22000318,2025-04,10,1,0,22000318.0,22000318.0,0.0,2018-03,2020-03,24.0,2024-03
400298,N22000286,2025-04,10,3,2,22000286.0,22000286.0,0.0,1996-03,2021-03,300.0,2024-03
400299,N10000016,2025-04,2,1,1,47.0,205.0,336.17021276595744,2018-05,2024-12,79.0,2024-03
400301,N16000234,2025-04,8,1,1,16000234.0,10.0,0.0,2017-02,2023-03,73.0,2024-03
400312,N06000223,2025-04,3,0,0,5.0,5.0,0.0,2029-03,2029-03,0.0,2024-03
400313,N06000163,2025-04,6,2,2,6000163.0,6000163.0,0.0,2019-08,2019-08,0.0,2024-03
400315,N06000220,2025-04,3,0,0,6000220.0,6000220.0,0.0,2029-03,2029-03,0.0,2024-03
400321,N06000196,2025-04,4,0,2,15.0,15.0,506.66666666666663,2025-03,2025-03,0.0,2024-03
400352,N06000240,2025-04,3,0,1,6000240.0,62.0,0.0,2031-03,2031-03,0.0,2024-03
400353,N06000209,2025-04,3,0,0,6000209.0,6000209.0,0.0,2028-03,2028-03,0.0,2024-03
400354,N06000200,2025-04,4,0,0,40.0,40.0,0.0,2029-03,2029-03,0.0,2024-03
400369,N06000192,2025-04,4,0,0,14.0,14.0,0.0,2024-03,2024-03,0.0,2024-03
400392,N06000171,2025-04,6,0,2,6000171.0,6000171.0,0.0,2029-03,2029-03,0.0,2024-03
400425,N06000098,2025-04,11,1,2,6000098.0,45.0,0.0,2015-04,2019-03,47.0,2024-03
40380,N24001919,2025-04,1,0,0,130.0,130.0,0.0,2023-09,2023-09,0.0,2024-03
40390,N24001418,2025-04,0,0,0,,,0.0,,,0.0,
40430,N24001375,2025-04,3,0,1,731.0,4.0,0.0,2027-03,2027-03,0.0,2024-03
40840,N24002233,2025-04,0,0,0,,,0.0,,,0.0,
413257,N24002170,2025-04,0,0,0,,,0.0,,,0.0,
423500,N24001551,2025-04,2,0,1,1300.0,1332.0,2.4615384615384617,2024-09,2024-09,0.0,2024-03
43060,N24001441,2025-04,2,0,0,43.06,43.06,0.0,2022-02,2022-02,0.0,2024-03
45700,N24001843,2025-04,2,0,0,6.0,6.0,0.0,2025-11,2025-11,0.0,2024-03
468100,N24001552,2025-04,2,1,1,24001552.0,9.0,0.0,2024-09,2019-12,0.0,2024-03
47020,N24002185,2025-04,0,0,0,,,0.0,,,0.0,
