agency,as_of_date,window,completed_count,delay_count,delay_rate_raw,delay_rate_smoothed,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,cost_overrun_rate_smoothed,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
"(NATIONAL 
224.9 KM,2025-04,3y,1,1,1.0,0.9465811965811967,48.0,48.0,0,0,,0.631578947368421,,,2024-03
231,2025-04,lifetime,1,1,1.0,0.9619358346927678,41.0,41.0,0,0,,0.631578947368421,,,2020-03
231,2025-04,10y,1,1,1.0,0.9590909090909091,41.0,41.0,0,0,,0.631578947368421,,,2020-03
231,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
231,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
23KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
23KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
23KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
23KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
24 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,72.0,72.0,0,0,,0.631578947368421,,,2020-03
24 KM,2025-04,10y,1,1,1.0,0.9590909090909091,72.0,72.0,0,0,,0.631578947368421,,,2020-03
24 KM,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
24 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
"25 K   EPC(MINISTRY 
OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDS",2025-04,lifetime,1,1,1.0,0.9619358346927678,15.0,15.0,0,0,,0.631578947368421,,,2024-03
"25 K   EPC(MINISTRY 
OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDS",2025-04,10y,1,1,1.0,0.9590909090909091,15.0,15.0,0,0,,0.631578947368421,,,2024-03
"25 K   EPC(MINISTRY 
OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDS",2025-04,5y,1,1,1.0,0.9597701149425287,15.0,15.0,0,0,,0.631578947368421,,,2024-03
"25 K   EPC(MINISTRY 
OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDS",2025-04,3y,1,1,1.0,0.9465811965811967,15.0,15.0,0,0,,0.631578947368421,,,2024-03
2500MW) AND KURNOOL (1000MW,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
2500MW) AND KURNOOL (1000MW,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
