sector,as_of_date,window,completed_count,delay_count,delay_rate_raw,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
HEALTH AND FAMILY WELFARE,2026-06,3y,11,11,1.0,70.27272727272727,64.0,0,0,,,,2024-02
MINES,2026-06,lifetime,3,3,1.0,20.0,12.0,0,0,,,,2017-11
MINES,2026-06,10y,2,2,1.0,12.0,12.0,0,0,,,,2017-11
MINES,2026-06,5y,0,0,,,,0,0,,,,
MINES,2026-06,3y,0,0,,,,0,0,,,,
PETROLEUM,2026-06,lifetime,302,260,0.87248322147651,19.174496644295303,18.0,0,0,,,,2024-05
PETROLEUM,2026-06,10y,213,176,0.8301886792452831,16.38679245283019,17.0,0,0,,,,2024-05
PETROLEUM,2026-06,5y,120,96,0.8067226890756303,13.697478991596638,19.0,0,0,,,,2024-05
PETROLEUM,2026-06,3y,53,35,0.660377358490566,3.30188679245283,19.0,0,0,,,,2024-05
PORTS,2026-06,lifetime,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-06,10y,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-06,5y,0,0,,,,0,0,,,,
PORTS,2026-06,3y,0,0,,,,0,0,,,,
POWER,2026-06,lifetime,249,220,0.8835341365461847,28.04016064257028,20.0,0,0,,,,2024-04
POWER,2026-06,10y,160,145,0.90625,33.2875,25.0,0,0,,,,2024-04
POWER,2026-06,5y,61,59,0.9672131147540983,37.885245901639344,28.0,0,0,,,,2024-04
POWER,2026-06,3y,8,7,0.875,32.625,14.0,0,0,,,,2024-04
RAILWAYS,2026-06,lifetime,197,158,0.9461077844311377,67.30538922155688,48.0,0,0,,,,2024-04
RAILWAYS,2026-06,10y,146,124,0.9763779527559056,72.7007874015748,48.0,0,0,,,,2024-04
RAILWAYS,2026-06,5y,84,77,0.9871794871794872,63.794871794871796,38.0,0,0,,,,2024-04
RAILWAYS,2026-06,3y,24,21,1.0,79.19047619047619,48.0,0,0,,,,2024-04
ROAD TRANSPORT & HIGHWAYS,2026-06,lifetime,66,64,1.0,41.75,40.5,0,0,,,,2013-03
ROAD TRANSPORT & HIGHWAYS,2026-06,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-06,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-06,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2026-06,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-06,10y,279,252,0.9767441860465116,52.554263565891475,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-06,5y,188,164,0.9704142011834319,56.437869822485204,50.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-06,3y,96,90,0.967741935483871,46.27956989247312,43.0,0,0,,,,2024-04
SHIPPING,2026-06,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2026-06,10y,3,3,1.0,40.0,11.0,0,0,,,,2018-03
SHIPPING,2026-06,5y,0,0,,,,0,0,,,,
SHIPPING,2026-06,3y,0,0,,,,0,0,,,,
STEEL,2026-06,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2026-06,10y,21,21,1.0,35.904761904761905,35.0,0,0,,,,2023-09
STEEL,2026-06,5y,5,5,1.0,48.6,43.0,0,0,,,,2023-09
STEEL,2026-06,3y,1,1,1.0,100.0,100.0,0,0,,,,2023-09
TELECOMMUNICATIONS,2026-06,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-06,10y,8,8,1.0,12.0,10.5,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-06,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2026-06,3y,0,0,,,,0,0,,,,
UNKNOWN,2026-06,lifetime,339,67,0.19822485207100593,-11.961538461538462,0.0,155,88,0.567741935483871,13.019884442573057,3.50048390007054,2026-05
UNKNOWN,2026-06,10y,325,67,0.20679012345679013,-6.645061728395062,0.0,143,82,0.5734265734265734,15.838471820747806,4.213371360350196,2026-05
UNKNOWN,2026-06,5y,269,67,0.25,-2.5597014925373136,0.0,130,72,0.5538461538461539,15.520451656517004,3.7263037037720093,2026-05
UNKNOWN,2026-06,3y,214,67,0.3145539906103286,0.29577464788732394,0.0,113,59,0.5221238938053098,14.984910576152501,0.8239479037628848,2026-05
URBAN DEVELOPMENT,2026-06,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-06,10y,27,25,0.9615384615384616,39.38461538461539,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-06,5y,7,7,1.0,32.0,26.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-06,3y,1,1,1.0,72.0,72.0,0,0,,,,2024-03
WATER RESOURCES,2026-06,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-06,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-06,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2026-06,3y,0,0,,,,0,0,,,,
