entity,entity_type,as_of_date,window,metric,source_record_count,max_source_outcome_date,leakage_status
ATOMIC ENERGY,Sector,2025-07,10y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-07,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-07,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
CENTRAL SECTOR,Sector,2025-07,lifetime,sector_historical_priors,674,2024-04,PASS
CENTRAL SECTOR,Sector,2025-07,10y,sector_historical_priors,609,2024-04,PASS
CENTRAL SECTOR,Sector,2025-07,5y,sector_historical_priors,470,2024-04,PASS
CENTRAL SECTOR,Sector,2025-07,3y,sector_historical_priors,340,2024-04,PASS
CIVIL AVIATION,Sector,2025-07,lifetime,sector_historical_priors,12,2022-11,PASS
CIVIL AVIATION,Sector,2025-07,10y,sector_historical_priors,7,2022-11,PASS
CIVIL AVIATION,Sector,2025-07,5y,sector_historical_priors,2,2022-11,PASS
CIVIL AVIATION,Sector,2025-07,3y,sector_historical_priors,1,2022-11,PASS
COAL,Sector,2025-07,lifetime,sector_historical_priors,43,2024-04,PASS
COAL,Sector,2025-07,10y,sector_historical_priors,36,2024-04,PASS
COAL,Sector,2025-07,5y,sector_historical_priors,18,2024-04,PASS
COAL,Sector,2025-07,3y,sector_historical_priors,6,2024-04,PASS
DEFENCE,Sector,2025-07,lifetime,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-07,10y,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-07,5y,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-07,3y,sector_historical_priors,1,2024-04,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-07,lifetime,sector_historical_priors,17,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-07,10y,sector_historical_priors,17,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-07,5y,sector_historical_priors,13,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-07,3y,sector_historical_priors,13,2024-02,PASS
MINES,Sector,2025-07,lifetime,sector_historical_priors,3,2017-11,PASS
MINES,Sector,2025-07,10y,sector_historical_priors,2,2017-11,PASS
MINES,Sector,2025-07,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
MINES,Sector,2025-07,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
PETROLEUM,Sector,2025-07,lifetime,sector_historical_priors,302,2024-05,PASS
