ablation,feature,importance,rank
B_No_Deadline_Proximity,missing_physical_progress_t,0.00046,73
B_No_Deadline_Proximity,months_since_last_observation_t,0.000449,74
B_No_Deadline_Proximity,missing_revised_cost_t,0.000378,75
B_No_Deadline_Proximity,stagnant_2m_t,0.000371,76
B_No_Deadline_Proximity,stagnant_3m_t,0.000325,77
B_No_Deadline_Proximity,observation_coverage_ratio_t,0.000115,78
B_No_Deadline_Proximity,observation_gap_flag_t,8.5e-05,79
B_No_Deadline_Proximity,project_size_category_Unknown,4e-05,80
B_No_Deadline_Proximity,project_size_category_Small (<150Cr),3e-05,81
B_No_Deadline_Proximity,stagnant_6m_t,6e-06,82
B_No_Deadline_Proximity,negative_expenditure_delta_flag_t,1e-06,83
C_No_Direct_Schedule_Status,months_to_original_doc_t,0.354538,1
C_No_Direct_Schedule_Status,average_progress_to_date_t,0.087781,2
C_No_Direct_Schedule_Status,max_progress_to_date_t,0.052903,3
C_No_Direct_Schedule_Status,physical_progress_t,0.046662,4
C_No_Direct_Schedule_Status,min_progress_to_date_t,0.044536,5
C_No_Direct_Schedule_Status,remaining_physical_progress_t,0.04099,6
C_No_Direct_Schedule_Status,project_age_months_t,0.034637,7
C_No_Direct_Schedule_Status,expenditure_ratio_pct_t,0.032893,8
C_No_Direct_Schedule_Status,physical_progress_lag1,0.027222,9
C_No_Direct_Schedule_Status,planned_duration_months,0.022147,10
C_No_Direct_Schedule_Status,agency_median_progress_t,0.01944,11
C_No_Direct_Schedule_Status,agency_active_project_count_t,0.019169,12
C_No_Direct_Schedule_Status,months_to_revised_doc_t,0.018472,13
C_No_Direct_Schedule_Status,agency_mean_progress_t,0.016707,14
C_No_Direct_Schedule_Status,physical_progress_lag2,0.012512,15
C_No_Direct_Schedule_Status,agency_mean_expenditure_ratio_t,0.011153,16
C_No_Direct_Schedule_Status,cumulative_expenditure_t,0.010882,17
C_No_Direct_Schedule_Status,state_active_project_count_t,0.008886,18
C_No_Direct_Schedule_Status,agency_mean_cost_t,0.008727,19
C_No_Direct_Schedule_Status,original_cost_crore,0.008643,20
C_No_Direct_Schedule_Status,original_cost_log,0.008422,21
C_No_Direct_Schedule_Status,revised_cost_t,0.007818,22
C_No_Direct_Schedule_Status,cumulative_expenditure_lag1,0.00679,23
C_No_Direct_Schedule_Status,physical_progress_lag3,0.006248,24
C_No_Direct_Schedule_Status,largest_cost_revision_pct_to_date_t,0.006149,25
C_No_Direct_Schedule_Status,state_mean_progress_t,0.005543,26
C_No_Direct_Schedule_Status,state_mean_cost_t,0.005241,27
C_No_Direct_Schedule_Status,state_median_progress_t,0.005029,28
C_No_Direct_Schedule_Status,cost_escalation_pct_t,0.004895,29
C_No_Direct_Schedule_Status,avg_monthly_expenditure_to_date_t,0.004424,30
C_No_Direct_Schedule_Status,progress_std_to_date_t,0.004102,31
C_No_Direct_Schedule_Status,has_cost_revision_t,0.003719,32
C_No_Direct_Schedule_Status,state_mean_expenditure_ratio_t,0.003285,33
C_No_Direct_Schedule_Status,schedule_revision_count_to_date_t,0.003198,34
C_No_Direct_Schedule_Status,reporting_structure_version_t_v1_initial,0.002708,35
C_No_Direct_Schedule_Status,monthly_expenditure_delta_t,0.002399,36
C_No_Direct_Schedule_Status,reporting_structure_version_t_v2_focused_cohort,0.002171,37
C_No_Direct_Schedule_Status,expenditure_growth_rate_t,0.002087,38
C_No_Direct_Schedule_Status,expenditure_change_1m_t,0.002053,39
C_No_Direct_Schedule_Status,longest_stagnation_to_date_t,0.002014,40
C_No_Direct_Schedule_Status,months_since_first_observed_t,0.002007,41
C_No_Direct_Schedule_Status,cumulative_expenditure_lag3,0.002002,42
C_No_Direct_Schedule_Status,months_observed_to_date_t,0.001961,43
C_No_Direct_Schedule_Status,focused_cohort_indicator_t,0.00182,44
C_No_Direct_Schedule_Status,expenditure_change_3m_t,0.0016,45
C_No_Direct_Schedule_Status,expenditure_velocity_3m_t,0.001481,46
C_No_Direct_Schedule_Status,progress_change_3m_t,0.001475,47
C_No_Direct_Schedule_Status,months_since_last_cost_revision_t,0.001313,48
C_No_Direct_Schedule_Status,progress_change_2m_t,0.001286,49
C_No_Direct_Schedule_Status,table_source_t_Table 7: All Ongoing Projects,0.001229,50
C_No_Direct_Schedule_Status,progress_velocity_3m_t,0.001178,51
C_No_Direct_Schedule_Status,progress_change_1m_t,0.001173,52
C_No_Direct_Schedule_Status,progress_change_last_3m_t,0.001151,53
C_No_Direct_Schedule_Status,cost_reduction_pct_as_of_t,0.00107,54
C_No_Direct_Schedule_Status,consecutive_observation_count_t,0.001052,55
C_No_Direct_Schedule_Status,months_since_last_progress_increase_t,0.0009,56
C_No_Direct_Schedule_Status,months_since_last_schedule_revision_t,0.000888,57
C_No_Direct_Schedule_Status,cost_revision_count_to_date_t,0.000848,58
C_No_Direct_Schedule_Status,project_size_category_Mega (>1000Cr),0.000847,59
C_No_Direct_Schedule_Status,progress_velocity_6m_t,0.000777,60
C_No_Direct_Schedule_Status,progress_velocity_1m_t,0.000774,61
C_No_Direct_Schedule_Status,project_size_category_Medium (150-500Cr),0.000762,62
C_No_Direct_Schedule_Status,has_revised_schedule_as_of_t,0.000735,63
C_No_Direct_Schedule_Status,missing_revised_doc_t,0.0006,64
C_No_Direct_Schedule_Status,table_source_t_Table 6: All Ongoing Projects,0.000525,65
C_No_Direct_Schedule_Status,table_source_t_Table 4: All Ongoing Projects,0.000466,66
C_No_Direct_Schedule_Status,project_size_category_Large (500-1000Cr),0.00039,67
C_No_Direct_Schedule_Status,expenditure_velocity_6m_t,0.000384,68
C_No_Direct_Schedule_Status,stagnant_3m_t,0.000344,69
C_No_Direct_Schedule_Status,missing_physical_progress_t,0.000334,70
C_No_Direct_Schedule_Status,project_size_category_Small (<150Cr),0.000289,71
C_No_Direct_Schedule_Status,months_since_last_observation_t,0.000261,72
C_No_Direct_Schedule_Status,stagnant_2m_t,0.000241,73
C_No_Direct_Schedule_Status,missing_expenditure_t,0.000186,74
C_No_Direct_Schedule_Status,missing_revised_cost_t,0.000149,75
C_No_Direct_Schedule_Status,observation_gap_flag_t,8.6e-05,76
C_No_Direct_Schedule_Status,project_size_category_Unknown,7.3e-05,77
C_No_Direct_Schedule_Status,observation_coverage_ratio_t,6.8e-05,78
C_No_Direct_Schedule_Status,negative_expenditure_delta_flag_t,6.4e-05,79
C_No_Direct_Schedule_Status,stagnant_6m_t,1.6e-05,80
D_No_Schedule_Derived,average_progress_to_date_t,0.10773,1
D_No_Schedule_Derived,min_progress_to_date_t,0.089382,2
D_No_Schedule_Derived,max_progress_to_date_t,0.086923,3
D_No_Schedule_Derived,project_age_months_t,0.068533,4
D_No_Schedule_Derived,remaining_physical_progress_t,0.054597,5
D_No_Schedule_Derived,planned_duration_months,0.048547,6
D_No_Schedule_Derived,physical_progress_t,0.042655,7
D_No_Schedule_Derived,physical_progress_lag1,0.041567,8
D_No_Schedule_Derived,expenditure_ratio_pct_t,0.041143,9
D_No_Schedule_Derived,agency_mean_progress_t,0.037305,10
D_No_Schedule_Derived,agency_active_project_count_t,0.029656,11
D_No_Schedule_Derived,agency_median_progress_t,0.028934,12
D_No_Schedule_Derived,physical_progress_lag2,0.027281,13
D_No_Schedule_Derived,agency_mean_expenditure_ratio_t,0.019748,14
