project_id,legacy_ocms_code,agency,sector,project_size_category,original_cost_crore,original_cost_log,planned_duration_months,pre_paimana_obs_months,historical_schedule_revision_count,historical_cost_revision_count,pre_paimana_max_schedule_slippage_months,pre_paimana_max_cost_escalation_pct
617958,N24001876,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,566.15,6.340623819005051,36.0,1,0,0,0.0,0.0
617959,N24001875,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,477.54,6.1707398019655315,46.0,1,0,0,0.0,0.0
617960,N24000874,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,271.17,5.60642687106484,32.0,5,0,2,0.0,0.0
617961,N24000579,MoRTH,ROAD TRANSPORT & HIGHWAYS,Mega,1408.85,7.25123859473442,33.0,8,1,4,65.0,860.8866412008392
617965,N24001904,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,195.38,5.280051557741144,22.0,1,0,0,0.0,0.0
617966,N24000382,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,675.0,6.516193076042964,69.0,9,4,0,111.0,0.0
617968,N24000779,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,418.88,6.039968956167597,24.0,6,0,3,0.0,81100.0
617970,N24000775,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,282.08,5.645729543207584,24.0,6,0,4,0.0,80900.0
617973,N24001228,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,188.8,5.245970886175828,18.0,5,0,3,0.0,0.0
617975,N24000820,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,237.8,5.475626381518447,24.0,6,0,3,0.0,37250.0
617980,N24000994,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,626.76,6.442157927819218,28.0,5,0,3,0.0,19107.54716981132
617982,N24000988,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,230.03,5.442547572219269,23.0,5,0,4,0.0,75950.0
617984,N24000989,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,317.22,5.762742967479711,38.0,5,0,2,0.0,68700.0
617989,N24001450,PAIMANA,OTHER CENTRAL SECTOR,Major,85.0,4.454347296253507,32.0,2,0,0,0.0,0.0
617990,N24002025,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,242.0,5.493061443340548,32.0,1,0,0,0.0,0.0
618002,N24001418,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,192.93,5.26749726920815,52.0,3,0,1,0.0,0.0
618009,N24000331,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,282.41,5.646894612449152,28.0,9,1,2,73.0,3979.1666666666665
618011,N24001527,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,411.4,6.021993752142805,29.0,2,0,0,0.0,0.0
618020,N24001965,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,386.49,5.959690042008797,35.0,1,0,0,0.0,0.0
618023,N24001961,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,152.58,5.034221603902398,19.0,1,0,0,0.0,0.0
618024,N24001960,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,263.19,5.576668541258341,31.0,1,0,0,0.0,0.0
618025,N24000997,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,192.67,5.26615567973964,16.0,5,0,4,0.0,1163.6363636363635
618026,N24000996,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,605.08,6.407011990557659,33.0,5,0,3,0.0,2022.2222222222224
618029,N24001941,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,350.69,5.8627501057518465,24.0,1,0,0,0.0,0.0
618030,N24001940,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,166.58,5.121460849185141,36.0,1,0,0,0.0,0.0
618031,N24002011,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,516.96,6.249898019200639,30.0,1,0,0,0.0,0.0
618037,N24001934,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,439.82,6.088636628860241,29.0,1,0,0,0.0,0.0
618045,N24001962,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,179.19,5.194011849738723,33.0,1,0,0,0.0,0.0
618050,N24001422,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,345.89,5.84900772680898,7.0,3,0,2,0.0,0.0
618055,N24002016,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,225.17,5.42128692889172,32.0,1,0,0,0.0,0.0
618056,N24002121,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,509.65,6.235684424024108,44.0,1,0,0,0.0,0.0
618057,N24001997,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,189.31,5.248654321528936,31.0,1,0,0,0.0,0.0
618060,N24001923,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,315.21,5.756406549828742,30.0,1,0,0,0.0,0.0
618063,N24001587,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,262.37,5.573559887606227,54.0,2,0,0,0.0,0.0
618068,N24002020,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,158.36,5.071165793836288,43.0,1,0,0,0.0,0.0
618070,N24001369,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,294.28,5.687924058721743,6.0,3,0,1,0.0,0.0
618071,N24001442,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,385.15,5.956225895015272,31.0,2,0,0,0.0,0.0
618072,N24001466,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,297.24,5.697898531497226,40.0,2,0,0,0.0,0.0
618074,N24001870,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,624.43,6.438439413172899,33.0,1,0,0,0.0,0.0
618075,N24002031,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,840.93,6.735696875394464,50.0,1,0,0,0.0,0.0
618081,N24002115,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,438.24,6.085045960729513,29.0,1,0,0,0.0,0.0
618082,N24001479,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,395.62,5.982978643457684,38.0,2,0,0,0.0,0.0
618084,N24001922,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,153.01,5.037017535370374,42.0,1,0,0,0.0,0.0
618087,N24001944,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,255.88,5.548609049781258,17.0,1,0,0,0.0,0.0
618090,N24001002,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,545.64,6.303790450472523,41.0,5,0,4,0.0,0.0
618093,N24001927,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,838.43,6.732723090074991,43.0,1,0,0,0.0,0.0
618094,N24001106,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,301.39,5.711717574975525,0.0,5,2,2,66.0,0.0
618097,N24001057,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,407.19,6.01173275228047,28.0,5,0,3,0.0,0.0
618098,N24001908,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,167.97,5.129721184372558,29.0,1,0,0,0.0,0.0
618104,N24002007,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,886.69,6.788622582943796,40.0,1,0,0,0.0,0.0
618105,N24002010,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,631.49,6.449664410200012,24.0,1,0,0,0.0,0.0
618106,N24002009,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,703.68,6.557743799058939,36.0,1,0,0,0.0,0.0
618108,N24002014,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,237.28,5.473446452760487,15.0,1,0,0,0.0,0.0
618109,N24001948,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,355.72,5.876951160319221,24.0,1,0,0,0.0,0.0
618110,N24001469,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,307.11,5.730456862070388,30.0,2,0,1,0.0,0.0
618111,N24002015,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,403.36,6.0023055702858565,43.0,1,0,0,0.0,0.0
618121,N24001878,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,427.29,6.059800536228278,34.0,1,0,0,0.0,0.0
618124,N24002116,NUHKHAS TO ETAH SECTION,OTHER CENTRAL SECTOR,Major,343.54,5.842210194018223,43.0,1,0,0,0.0,0.0
618133,N24000983,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,280.57,5.640381084517819,38.0,5,0,2,0.0,3690.0
618153,N24000979,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,653.46,6.4838104681271025,31.0,4,1,2,140.0,1482.2479498311625
618172,N24001122,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,341.8,5.837147186723625,27.0,5,0,0,0.0,0.0
618175,N24001884,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,428.8,6.06331998420841,26.0,1,0,0,0.0,0.0
618177,N24001060,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,227.19,5.430178615258333,21.0,5,0,2,0.0,0.0
618186,N24002003,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,549.28,6.310427239592795,35.0,1,0,0,0.0,0.0
618190,N24002005,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,644.45,6.469947747952719,36.0,1,0,0,0.0,0.0
618191,N24001951,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,403.22,6.001959284200623,36.0,1,0,0,0.0,0.0
618192,N24001942,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,423.67,6.0513123967267575,40.0,1,0,0,0.0,0.0
618194,N24000937,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,289.67,5.672188603065022,5.0,5,0,3,0.0,42.83088235294117
618196,N24002008,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,578.85,6.3627694494027125,35.0,1,0,0,0.0,0.0
618197,N24002001,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,882.18,6.783529030338895,36.0,1,0,0,0.0,0.0
